CETCode,College,Location,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,,,,
E014,S J C Institute of Technology,"BB Rd, Chickaballapur",CS,82037,--,89796,49201,--,79253,50279,--,73500,32393,--,--,37642,--,52396,29904,50269,38391 112507130357131779 85215,,,,,--,--,,,,
E014,S J C Institute of Technology,"BB Rd, Chickaballapur",EC,--,--,--,129253,--,--,94782,--,--,87905,--,--,118133,--,--,80028 100355106688131551,,,,--,--,124366,--,--,,,,
E014,S J C Institute of Technology,"BB Rd, Chickaballapur",IE,113285,--,--,85048,--,111908,92802,--,--,50811,--,69527,55019,--,--,50746,91800,62219,--,--,--,76887,--,--,,,,
E014,S J C Institute of Technology,"BB Rd, Chickaballapur",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140504,--,--,--,--,--,--,--,--,,,,
E014,S J C Institute of Technology,"BB Rd, Chickaballapur",SE,133876,--,--,91369,--,133490,--,--,--,88133,--,--,137750,--,--,79069,--,91676 105637,,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E015,Dr.T.Thimmaiah Institute of Technology,"KGF,Kolar",CE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,137068,--,--,--,--,--,--,--,--,,,,
E015,Dr.T.Thimmaiah Institute of Technology,"KGF,Kolar",CS,128531,--,--,133882,--,--,133208,--,--,133213,--,--,129942,--,--,118915,--,1.36403E+11,,--,--,--,--,--,,,,
E015,Dr.T.Thimmaiah Institute of Technology,"KGF,Kolar",EC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140771,--,--,--,--,--,--,--,--,,,,
E015,Dr.T.Thimmaiah Institute of Technology,"KGF,Kolar",EE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140340,--,--,--,--,--,--,--,--,,,,
E015,Dr.T.Thimmaiah Institute of Technology,"KGF,Kolar",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,138078,--,--,--,--,--,--,--,--,,,,
E015,Dr.T.Thimmaiah Institute of Technology,"KGF,Kolar",MN,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,136264,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E016,Siddaganga Institute of Technology," Bengaluru - Honnavar Rd,Tumkur",BT,32594,--,--,39799,--,--,--,--,--,--,--,--,--,--,--,32123,53911,38093,36292,--,--,94653,--,--,,,,
E016,Siddaganga Institute of Technology," Bengaluru - Honnavar Rd,Tumkur",CE,25441,--,--,37036,--,38711,50393,--,--,27156,--,--,23170,--,--,22857,--,30672,46495,70596,76606,43259,--,--,,,,
E016,Siddaganga Institute of Technology," Bengaluru - Honnavar Rd,Tumkur",CH,83783,--,--,87245,--,--,77756,--,--,72266,--,--,68466,--,--,64360,77362,77905,80570,--,--,75878,--,--,,,,
E016,Siddaganga Institute of Technology," Bengaluru - Honnavar Rd,Tumkur",CS,11307,--,13408,8468,17535,10068,15686,--,--,5581,--,--,6131,--,8012,5481,9274,7340,27768,--,58007,23814,--,--,,,,
E016,Siddaganga Institute of Technology," Bengaluru - Honnavar Rd,Tumkur",EC,9672,--,--,12572,--,13413,9326,--,--,8433,--,--,9201,13824,17370,8386,13269,10804,40550,--,48780,16108,--,--,,,,
E016,Siddaganga Institute of Technology," Bengaluru - Honnavar Rd,Tumkur",EE,--,50324,--,13089,--,32128,11806,--,--,13827,--,--,13139,--,--,9985,--,16818,49974,--,93692,11472,--,--,,,,
